hypothesis,reference,audio_paths,accent,sample_id,pred_clean,ref_clean,wer,hypothesis_clean,reference_clean
 Chico P was the home of the different Aizuha amusement park.,Chicopee was the home of the defunct Idlehour amusement park.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20712866.wav,"india and south asia (india, pakistan, sri lanka)",57a90da2-7298-4df4-b8e7-0d3d6acd56ae,chico p was the home of the different aizuha amusement park.,chicopee was the home of the defunct idlehour amusement park.,0.4,chico p was the home of the different aizuha amusement park,chicopee was the home of the defunct idlehour amusement park
 I think the senator was just spoken before me has said it. But what I wanted to bring forward is what the chair said about the statements that we made yesterday as we,On procedure I think the senator who has just spoken before me has said it. But what I want them to  forward is what the chair Said about the statements that we made yesterday,/data4/data/intron/770f58e0376f11ed93df0603bdd00153/605d399a377011ed93df0603bdd00153.wav,kenyan english,73c1fd5a-2aff-4d54-a13e-8b510f4f1395,i think the senator was just spoken before me has said it. but what i wanted to bring forward is what the chair said about the statements that we made yesterday as we,on procedure i think the senator who has just spoken before me has said it. but what i want them to forward is what the chair said about the statements that we made yesterday,0.2647058823529412,i think the senator was just spoken before me has said it but what i wanted to bring forward is what the chair said about the statements that we made yesterday as we,on procedure i think the senator who has just spoken before me has said it but what i want them to forward is what the chair said about the statements that we made yesterday
" a testamentary hair, worn or pointed by the will of the dissidents.",A testamentary heir: one appointed by the will of the decedent.,/data4/data/intron/d83e872b-0ab7-42ea-99bc-93758275589f/e5cdc24afb5692e35ebe89bf0e3850f3.wav,yoruba,42f079ca-ecb2-4c76-8f54-fb3746b2c72c,"a testamentary hair, worn or pointed by the will of the dissidents.",a testamentary heir: one appointed by the will of the decedent.,0.45454545454545453,a testamentary hair worn or pointed by the will of the dissidents,a testamentary heir one appointed by the will of the decedent
" And increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give, including what government has to do, IBC, the registrar of political parties, all these people have","And you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do IEBC, you know the Registrar of political parties, all these people have",/data4/data/intron/d126c560376111ed86640603bdd00153/b7dbab1a376211ed86640603bdd00153.wav,kenyan english,d35eb816-b377-4345-88f9-fe2a6398a376,"and increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give, including what government has to do, ibc, the registrar of political parties, all these people have","and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do iebc, you know the registrar of political parties, all these people have",0.15555555555555556,and increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do ibc the registrar of political parties all these people have,and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do iebc you know the registrar of political parties all these people have
 My niece runs a farmer's market.,My niece runs a farmer's market.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_17815402.wav,"india and south asia (india, pakistan, sri lanka)",6a6a99df-4996-4216-92dc-806f82d57e55,my niece runs a farmer's market.,my niece runs a farmer's market.,0.0,my niece runs a farmer is market,my niece runs a farmer is market
" investments and development of badly needed infrastructure. A statement by the Speaker of the House of Representatives, Rep. Femi Bajabia-Mila, at the public hearing on a bill for","Investment and development of badly needed infrastructure, a statement by the speaker of the house of representatives Redpeni Abimajja at the public hearing on the bill",/data4/data/intron/2df4766a216a11edbed106dca2a745cd/db89566a216a11edbed106dca2a745cd.wav,luganda,8f57c714-355f-4fe4-abe9-73c332055ed1,"investments and development of badly needed infrastructure. a statement by the speaker of the house of representatives, rep. femi bajabia-mila, at the public hearing on a bill for","investment and development of badly needed infrastructure, a statement by the speaker of the house of representatives redpeni abimajja at the public hearing on the bill",0.3076923076923077,investments and development of badly needed infrastructure a statement by the speaker of the house of representatives representative femi bajabia mila at the public hearing on a bill for,investment and development of badly needed infrastructure a statement by the speaker of the house of representatives redpeni abimajja at the public hearing on the bill
 Most of the passengers had been trapped in their cabins.,Most of the passengers had been trapped in their cabins.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_27817507.wav,unknown,f9117254-1502-493e-8064-35803be811be,most of the passengers had been trapped in their cabins.,most of the passengers had been trapped in their cabins.,0.0,most of the passengers had been trapped in their cabins,most of the passengers had been trapped in their cabins
" you know, I think you are the wrong place. Simply because we are here to be the voice for the voiceless. Kenya is at this pathetic stage because our leaders in the past","You know, I think you are the wrong place. Simply because we are here to be the voice for the voiceless. Kenya is at this pathetic stage stage because our leaders in the past.",/data4/data/intron/596e3be4376511ed90f30603bdd00153/a71b8634376611ed90f30603bdd00153.wav,kenyan english,45af9ebe-f42a-4429-8d1f-de90c85bbd54,"you know, i think you are the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stage because our leaders in the past","you know, i think you are the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stage stage because our leaders in the past.",0.058823529411764705,you know i think you are the wrong place simply because we are here to be the voice for the voiceless kenya is at this pathetic stage because our leaders in the past,you know i think you are the wrong place simply because we are here to be the voice for the voiceless kenya is at this pathetic stage stage because our leaders in the past
 Securities that are illiquid in the market are classified as hard.,Securities that are illiquid in the market are classified as hard.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_28948994.wav,"india and south asia (india, pakistan, sri lanka)",1963d0d2-e290-4372-9bfa-2e4e6e059d57,securities that are illiquid in the market are classified as hard.,securities that are illiquid in the market are classified as hard.,0.0,securities that are illiquid in the market are classified as hard,securities that are illiquid in the market are classified as hard
" However, Lewis's long-term project, the publication of a dictionary, was never completed.","However, Lewis's long-term project, the publication of a dictionary, was never completed.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20987661.wav,united states english,453aa05e-16de-478d-aa87-0c92bf4c217b,"however, lewis's long-term project, the publication of a dictionary, was never completed.","however, lewis's long-term project, the publication of a dictionary, was never completed.",0.0,however lewis is long term project the publication of a dictionary was never completed,however lewis is long term project the publication of a dictionary was never completed
